title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text,Extracted Team Info,Roles,Researchers,Institutions,Individuals Per Team,Unique Individuals Per Entry,Unique Institutions Per Entry,Is Multi-Institutional
Prevalence of Cardiometabolic Disease Risk Factors in LGBTQIA+ opulations,This study is aimed to quantify and report the prevalence of common cardiometabolic risk factors among LGBTQIA+ community participants of All of Us. The reason for this investigation is that there exists a paucity of data about the prevalence of…,"Scientific Questions Being Studied
This study is aimed to quantify and report the prevalence of common cardiometabolic risk factors among LGBTQIA+ community participants of All of Us. The reason for this investigation is that there exists a paucity of data about the prevalence of cardiovascular and metabolic risk factors among individuals from this community. The community is often stigmatized and often face seclusion from research studies and clinical initiatives. Furthermore, the access to healthcare is limited in the community due to the attached social stigma. We propose that these social determinants of health eventually result in a higher prevalence of uncontrolled cardiometabolic diseases in the community. The overall objective of the current project will be to highlight the cardiometabolic disease burden in the community to garner attention of the publichealth community.","Project Purpose(s)
Disease Focused Research (Cardiovascular; Metabolic Disease)
Population Health
Social / Behavioral","Scientific Approaches
Approach:
Study Population: Self-identified members of LGBTQIA+ population
- We will reportage-adjusted prevalence, awareness, treatment and control of hypertension, dyslipidemia, diabetes mellitus, smoking, obesity, and physical inactivity in this population.
- All analysis will be stratified by the individual groups of LGBTQIA+
- We will also report the prevalence of various social determinants of health (ex: access to healthcare, health insurance, denial of healthcare etc.) in the community stratified by the abovementioned risk factors","Anticipated Findings
The LGBTQIA+ community is often stigmatized leading to limited availability of scientific information about the common health conditions in the community. The community is often stigmatized and often face seclusion from research studies and clinical initiatives. Furthermore, the access to healthcare is limited in the community due to the attached social stigma. We propose that these social determinants of health eventually result in a higher prevalence of uncontrolled cardiometabolic diseases in the community. The overall objective of the current project will be to highlight the cardiometabolic disease burden in the community to garner attention of the publichealth community. This study will help to increase the awareness about the cardiometabolic disease burden among providers and healthcare workers interacting with LGBTQIA+ community members and help to overcome the stigma associated with the provision of healthcare to these patients.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level
Others","Data Set Used
Registered Tier","Research Team
Owner:
Vibhu Parcha
- Research Fellow, University of Alabama at Birmingham",Prevalence of Cardiometabolic Disease Risk Factors in LGBTQIA+ opulations This study is aimed to quantify and report the prevalence of common cardiometabolic risk factors among LGBTQIA+ community participants of All of Us. The reason for this investigation is that there exists a paucity of data about the prevalence of…,"1. ['Owner', 'Research Fellow']
2. ['Vibhu Parcha']
3. ['University of Alabama at Birmingham']","['Owner', 'Research Fellow']",['Vibhu Parcha'],['University of Alabama at Birmingham'],1,1,1,FALSE
Duplicate of Demo - Cardiovascular Risk Scoring,"1- Can we use All of Us data to calculate the cardiovascular pooled score? We want to use and utilize the unique data collected by the All of Us program including smoking information (status, age of starting smoking, age of…","Scientific Questions Being Studied
1- Can we use All of Us data to calculate the cardiovascular pooled score? We want to use and utilize the unique data collected by the All of Us program including smoking information (status, age of starting smoking, age of quieting), underrepresented race data (African american, Asian, others, ..), and  measurements values such as blood pressure and cholesterol to calculate the score.
2- Can we identify the scores that we calculate within a year of All of Us enrollment? We wanted to know the participants who might have cardiovascular risk score within the time enrollment. This will help the program quantify the importance of collecting further longitudinal data for existing and future participants.
3- Will the risk score per race group be different? We compared the risk scores in each racial groups to quantify if some racial groups have higher or lower risk scores even if they have a cardiovascular disease in the future","Project Purpose(s)
Disease Focused Research (Cardiovascular disease )
Other Purpose (This work is a result of an All of Us Research Program Demonstration Project. The projects are efforts by the Program designed to meet the program's goal of ensuring the quality and utility of the Research Hub as a resource for accelerating discovery in science and medicine. This work was reviewed and overseen by the All of Us Research Program Science Committee and the All of Us Data and Research Center to ensure compliance with program policy, including acceptable data access and use.)","Scientific Approaches
In this project, we plan on using the AHA algorithm/equation to calculate the cardiovascular risk scores ( https://ahajournals.org/doi/full/10.1161/01.cir.0000437741.48606.98). Further, we want to demonstrate the usage of smoking and race data collected by the program, which are data that usually researchers use natural language processing to extract, to facilitate the calculation of cardiovascular risk score.
We will calculate the scores using 1- Data manipulation: Using python and BigQuery to: A- Retrieve medications (diabetes), lab measurements including systolic blood pressure, diastolic blood pressure, cholesterol, race, and smoking information provided by participants  2- Visualization: A- Creating histogram for calculated scores using python visualization library Matplotlib","Anticipated Findings
For this study, we anticipate demonstrating the validity and importance of the data collected by the program and can be challenging to extract from medical records (smoking status) by showing by calculating the cardiovascular risk within 10 years. We expect to find: 1) the easiness in using data from different sources (EHR and survey data) to build a model or calculate a risk. 2) the heterogeneity in All of Us population where underrepresented population in clinical trials or clinical data set are more present in the All of Us  3) the cardiovascular risk score is different in racial groups.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Nikita Piryani
- Graduate Trainee, Medical College of Wisconsin","Duplicate of Demo - Cardiovascular Risk Scoring 1- Can we use All of Us data to calculate the cardiovascular pooled score? We want to use and utilize the unique data collected by the All of Us program including smoking information (status, age of starting smoking, age of…","1. ['Owner', 'Graduate Trainee']
2. ['Nikita Piryani']
3. ['Medical College of Wisconsin']","['Owner', 'Graduate Trainee']",['Nikita Piryani'],['Medical College of Wisconsin'],1,1,1,FALSE
Duplicate of NHPI Blood Pressure GWAS,"Are there differential causal determinants of cardiovascular, renal, and metabolic disease in under-researched populations such as Native Hawaiian and Pacific Islanders? Differential rates of disease have been observed in these populations but the underlying clinical and genetic risk factors have…","Scientific Questions Being Studied
Are there differential causal determinants of cardiovascular, renal, and metabolic disease in under-researched populations such as Native Hawaiian and Pacific Islanders? Differential rates of disease have been observed in these populations but the underlying clinical and genetic risk factors have not been explored to the same extent as Caucasian and even African/Hispanic populations.","Project Purpose(s)
Disease Focused Research (Blood Pressure )","Scientific Approaches
We will use all NHPI individuals in the AOU cohort with genetic chip data and blood pressure data to perform an initial GWAS to identify novel risk variants for blood pressure in NHPI populations.","Anticipated Findings
We will have a list of variants and then prioritize them with gene annotation to determine risk factors for high blood pressure.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Patrick Sun
- Undergraduate Student, University of Chicago","Duplicate of NHPI Blood Pressure GWAS Are there differential causal determinants of cardiovascular, renal, and metabolic disease in under-researched populations such as Native Hawaiian and Pacific Islanders? Differential rates of disease have been observed in these populations but the underlying clinical and genetic risk factors have…","1. ['Owner', 'Undergraduate Student']
2. ['Patrick Sun']
3. ['University of Chicago']","['Owner', 'Undergraduate Student']",['Patrick Sun'],['University of Chicago'],1,1,1,FALSE
Introductory to All of Us,"This workspace is to help me understand how to use the All of Us Research program. I am specifically interested in determining the relationships between chronic kidney diseases, diabetes, cardiovascular diseases, and other types of medical problems.","Scientific Questions Being Studied
This workspace is to help me understand how to use the All of Us Research program. I am specifically interested in determining the relationships between chronic kidney diseases, diabetes, cardiovascular diseases, and other types of medical problems.","Project Purpose(s)
Disease Focused Research (chronic kidney disease, diabetes)","Scientific Approaches
I am looking for datasets with information on mentioned diseases. I plan to use machine learning to develop models that detect the diseases and finds the relationships between these diseases.","Anticipated Findings
I anticipate that patients with diabetes may be also involved with other types of diseases. If this is correct, then our work will add into the medical library on new approach how to detect the diabetes or chronic kidney disease.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Quan Nguyen
- Graduate Trainee, Institute for Systems Biology
Collaborators:
Sevda Molani - Research Fellow, Institute for Systems Biology
Andrew Baumgartner - Early Career Tenure-track Researcher, Institute for Systems Biology","Introductory to All of Us This workspace is to help me understand how to use the All of Us Research program. I am specifically interested in determining the relationships between chronic kidney diseases, diabetes, cardiovascular diseases, and other types of medical problems.","1. ['Owner', 'Graduate Trainee', 'Research Fellow', 'Early Career Tenure-track Researcher']
2. ['Quan Nguyen', 'Sevda Molani', 'Andrew Baumgartner']
3. ['Institute for Systems Biology', 'Institute for Systems Biology', 'Institute for Systems Biology']","['Owner', 'Graduate Trainee', 'Research Fellow', 'Early Career Tenure-track Researcher']","['Quan Nguyen', 'Sevda Molani', 'Andrew Baumgartner']","['Institute for Systems Biology', 'Institute for Systems Biology', 'Institute for Systems Biology']",3,3,1,FALSE
Alcohol and cardiovascular diseases,"By expounding on the complex interactions between alcohol use and cardiovascular diseases among African Americans, our team aims to provide valuable insights that can inform targeted interventions, policies, and health promotion strategies. The findings of this study have the potential…","Scientific Questions Being Studied
By expounding on the complex interactions between alcohol use and cardiovascular diseases
among African Americans, our team aims to provide valuable insights that can inform targeted
interventions, policies, and health promotion strategies. The findings of this study have the
potential to contribute to the development of culturally sensitive approaches aimed at reducing
the burden of alcohol-related CVDs within this demographic.","Project Purpose(s)
Population Health
Educational","Scientific Approaches
I will use R as a tool to conduct analysis from the existing dataset in the workbench. The data that will be pulled are data on African Americans who are over 40 years of age, alcohol consumption, and cardiovascular diseases. The methods will include summary statistics, statistical inference, tests, and models. Data which are missing or outside of the usual yes/no.","Anticipated Findings
We hypothesize that African Americans above the age of forty who consumes alcohol will show a higher chance of alcohol-related cardiovascular diseases.","Demographic Categories of Interest
Race / Ethnicity
Age","Data Set Used
Registered Tier","Research Team
Owner:
Dawn Truong
- Early Career Tenure-track Researcher, Fayetteville State University
Collaborators:
Chan Nguyen  - Undergraduate Student, Fayetteville State University","Alcohol and cardiovascular diseases By expounding on the complex interactions between alcohol use and cardiovascular diseases among African Americans, our team aims to provide valuable insights that can inform targeted interventions, policies, and health promotion strategies. The findings of this study have the potential…","1. ['Owner', 'Collaborator']
2. ['Dawn Truong', 'Chan Nguyen']
3. ['Fayetteville State University', 'Fayetteville State University']","['Owner', 'Collaborator']","['Dawn Truong', 'Chan Nguyen']","['Fayetteville State University', 'Fayetteville State University']",2,2,1,FALSE
Sickle Cell and Cardiovascular Disease,"Healthcare providers can create focused strategies to treat and minimize these interconnected health risks by comprehending the complicated interaction between sickle cell disease and cardiovascular health, enhancing the quality of life for those who are impacted. How does sickle cell…","Scientific Questions Being Studied
Healthcare providers can create focused strategies to treat and
minimize these interconnected health risks by comprehending the
complicated interaction between sickle cell disease and cardiovascular health,
enhancing the quality of life for those who are impacted.
How does sickle cell anemia affect young African-American adults with cardiovascular disease?","Project Purpose(s)
Disease Focused Research (sickle cell anemia, cardiovascular disease)
Population Health
Educational","Scientific Approaches
I will use R as a tool to conduct analysis from the existing dataset in the workbench. The data that will be pulled are data on young African American adults, sickle cell disease, and cardiovascular diseases. The methods will include summary statistics, statistical inference, tests, and models. Data which are missing or outside of the usual yes/no will also be evaluated.","Anticipated Findings
We hypothesize that sickle cell anemia have different health effects on young African American adults with cardiovascular disease. These effects could be a variety of health effects, diseases and sickness.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Registered Tier","Research Team
Owner:
Dawn Truong
- Early Career Tenure-track Researcher, Fayetteville State University
Collaborators:
Chan Nguyen  - Undergraduate Student, Fayetteville State University","Sickle Cell and Cardiovascular Disease Healthcare providers can create focused strategies to treat and minimize these interconnected health risks by comprehending the complicated interaction between sickle cell disease and cardiovascular health, enhancing the quality of life for those who are impacted. How does sickle cell…","1. ['Owner', 'Collaborator']
2. ['Dawn Truong', 'Chan Nguyen']
3. ['Fayetteville State University']","['Owner', 'Collaborator']","['Dawn Truong', 'Chan Nguyen']",['Fayetteville State University'],2,2,1,FALSE
Rheumatoid Arthritis,The question we intend to study is how does inflammation in rheumatoid arthritis affect cardiovascular health and impact the overall prognosis and treatment outcomes in RA patients? This question is important because it bring awareness to the public to help…,"Scientific Questions Being Studied
The question we intend to study is how does inflammation in rheumatoid arthritis affect cardiovascular health and impact the overall prognosis and treatment outcomes in RA patients? This question is important because it bring awareness to the public to help those with RA monitor their symptoms and avoid any discomfort.","Project Purpose(s)
Educational","Scientific Approaches
The approach we plan to use  would be to study the risk  factors of Rheumatoid arthritis including age, gender, genetics, and environmental exposure. Although there is no cure, we can try to treat pain and prevent further damage.","Anticipated Findings
Our anticipated findings will include finding a solution to rheumatoid arthritis pain and ways to prevent further damage. This will contribute to the body of scientific knowledge in the field by learning how to provide better health.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Jasmin Villarreal
- Undergraduate Student, Arizona State University
Collaborators:
Michelle Sedique - Undergraduate Student, Arizona State University
Michelle Sedique - Undergraduate Student, Arizona State University
Mohammad Alkadah - Undergraduate Student, Arizona State University",Rheumatoid Arthritis The question we intend to study is how does inflammation in rheumatoid arthritis affect cardiovascular health and impact the overall prognosis and treatment outcomes in RA patients? This question is important because it bring awareness to the public to help…,"1. ['Owner', 'Undergraduate Student', 'Undergraduate Student', 'Undergraduate Student']
2. ['Jasmin Villarreal', 'Michelle Sedique', 'Michelle Sedique', 'Mohammad Alkadah']
3. ['Arizona State University', 'Arizona State University', 'Arizona State University', 'Arizona State University']","['Owner', 'Undergraduate Student', 'Undergraduate Student', 'Undergraduate Student']","['Jasmin Villarreal', 'Michelle Sedique', 'Michelle Sedique', 'Mohammad Alkadah']","['Arizona State University', 'Arizona State University', 'Arizona State University', 'Arizona State University']",4,3,1,FALSE
Hypertrophic Cardiomyopathy,"Ultimately, we are trying to investigate the genetic basis of cardiovascular disease. Currently, we are gathering preliminary data for a grant targeted at hypertrophic cardiomyopathy (HCM). Initially, we are exploring data to identify and characterize potential cases.","Scientific Questions Being Studied
Ultimately, we are trying to investigate the genetic basis of cardiovascular disease.  Currently, we are gathering preliminary data for a grant targeted at hypertrophic cardiomyopathy (HCM).  Initially, we are exploring data to identify and characterize potential cases.","Project Purpose(s)
Disease Focused Research (hypertrophic cardiomyopathy)","Scientific Approaches
We plan to use UKB and other biobanks such as AOU to identify subjects with phenotypes of interest (e.g., HCM) and genetic data (e.g., array, WES, WGS).  We will use a variety of genetic techniques, including polygenic risk scores, rare and common variant analysis, and identity by descent to define the genetic architecture of traits.","Anticipated Findings
We expect to identify novel risk loci, define pathogenicity for candidate loci with equivocal data, and characterize genotype-phenotype relationships for established and novel risk loci and variants.  This will improve the yield of genetic testing for patients and families, improve interpretation of genetic results, and facilitate genotype-driven (i.e. precision) diagnosis and care.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Brandon Lowery
- Other, Vanderbilt University Medical Center","Hypertrophic Cardiomyopathy Ultimately, we are trying to investigate the genetic basis of cardiovascular disease. Currently, we are gathering preliminary data for a grant targeted at hypertrophic cardiomyopathy (HCM). Initially, we are exploring data to identify and characterize potential cases.","1. ['Owner']
2. ['Brandon Lowery']
3. ['Vanderbilt University Medical Center']",['Owner'],['Brandon Lowery'],['Vanderbilt University Medical Center'],1,1,1,FALSE
Duplicate of FH & ASCVD Risk,Familial hypercholesterolemia (FH) is an inherited disorder characterized by lifelong elevated low density lipoprotein cholesterol (LDL-C) and dramatically increased risk for premature atherosclerotic cardiovascular disease (ASCVD). Genetic studies now suggest that familial hypercholesterolemia (FH) encompasses five discrete subtypes based on…,"Scientific Questions Being Studied
Familial hypercholesterolemia (FH) is an inherited disorder characterized by lifelong elevated low density lipoprotein cholesterol (LDL-C) and dramatically increased risk for premature atherosclerotic cardiovascular disease (ASCVD). Genetic studies now suggest that familial hypercholesterolemia (FH) encompasses five discrete subtypes based on LDL-c levels, 1) a monogenic FH variant, 2) a high low density lipoprotein cholesterol (LDL-c) polygenic score, 3) elevated lipoprotein(a), 4) elevated LDL-c polygenic score with elevated lipoprotein(a), and 5) a positive family history without an identifiable genetic cause, or true “phenotypic FH.” The primary question of this project is: Are there differences in treatment, comorbidities, and ASCVD outcomes between FH subtypes?","Project Purpose(s)
Disease Focused Research (familial hypercholesterolemia)
Ancestry","Scientific Approaches
We plan to screen all individuals with whole genome sequences available for monogenic variants in an FH gene. We will calculate an LDL cholesterol polygenic risk score from each participant’s whole genome sequence. Using labs and measurements, we will identify individuals with an FH subtype. Additionally, we will stratify the cohort into statin treated and untreated individuals using medication data. Finally, we will use EH data to determine comorbidities and ASCVD outcomes. We will primarily use regression analyses to compare ASCVD risk in those with each FH subtype to individuals without FH.","Anticipated Findings
We expect ASCVD risk to vary among FH subtypes and to be more pronounced in each of the subtypes, relative to those without FH. We also anticipate ASCVD risk and comorbidities to vary between individuals using lipid-lowering medication and those not using medication. Our findings may demonstrate the importance of considering subtypes in ASCVD risk assessment for patients with the FH phenotype.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Alex Winters
- Research Associate, Geisinger Clinic",Duplicate of FH & ASCVD Risk Familial hypercholesterolemia (FH) is an inherited disorder characterized by lifelong elevated low density lipoprotein cholesterol (LDL-C) and dramatically increased risk for premature atherosclerotic cardiovascular disease (ASCVD). Genetic studies now suggest that familial hypercholesterolemia (FH) encompasses five discrete subtypes based on…,"1. ['Owner', 'Research Associate']
2. ['Alex Winters']
3. ['Geisinger Clinic']","['Owner', 'Research Associate']",['Alex Winters'],['Geisinger Clinic'],1,1,1,FALSE
Duplicate of Cardiovascular disease and Type 2 Diabetes Mellitus,"This research aims to study the link between cardiovascular disease and Type 2 diabetes mellitus among elderly African American and Hispanics/Latinos, for example, parents and adult children, and variables influencing chronic disease.","Scientific Questions Being Studied
This research aims to study the link between cardiovascular disease and Type 2 diabetes mellitus among elderly African American and Hispanics/Latinos, for example, parents and adult children, and variables influencing chronic disease.","Project Purpose(s)
Disease Focused Research (cardiovascular disease and type 2 diabetes mellitus)
Population Health
Social / Behavioral
Educational
Methods Development
Control Set
Ancestry","Scientific Approaches
I will be using quantitative data analysis, ANOVA, and regressions to better understand the link between cardiovascular disease and Type 2 diabetes mellitus among elderly African Americans, and Hispanic/Latino.","Anticipated Findings
Cardiovascular disease and Type 2 diabetes mellitus share overlapping risk factors that can be managed to lower the burden of chronic diseases and reduce the risk for future generations.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Valerie Sant
- Graduate Trainee, University of Texas at Austin","Duplicate of Cardiovascular disease and Type 2 Diabetes Mellitus This research aims to study the link between cardiovascular disease and Type 2 diabetes mellitus among elderly African American and Hispanics/Latinos, for example, parents and adult children, and variables influencing chronic disease.","1. ['Owner', 'Graduate Trainee']
2. ['Valerie Sant']
3. ['University of Texas at Austin']","['Owner', 'Graduate Trainee']",['Valerie Sant'],['University of Texas at Austin'],1,1,1,FALSE
Protective Factors Associated with Stress Resilience Among Minoritized Groups,"I am currently exploring these data but am interested in identifying individual and community-level risk and resiliency factors among minoritized adults across different environments (i.e., rural, urban, suburban) and how they are associated with different health conditions (e.g., cardiovascular disease).…","Scientific Questions Being Studied
I am currently exploring these data but am interested in identifying individual and community-level risk and resiliency factors among minoritized adults across different environments (i.e., rural, urban, suburban) and how they are associated with different health conditions (e.g., cardiovascular disease). In particular, I'm interested in health conditions where disparities are present or possible, such as cardiovascular disease or ADRD. My ultimate goal is to identify which modifiable risk and resiliency factors are most strongly related to a number of health conditions in order to develop behavioral interventions targeting these factors. As research tends to focus on sexual minorities in urban environments, I want to examine whether these trends are consistent across different environments.","Project Purpose(s)
Population Health
Social / Behavioral
Other Purpose (I am developing a K01 award on minority health with a particular interest in identifying modifiable resiliency factors associated with better cardiovascular health outcomes . These data will help serve as preliminary data.   )","Scientific Approaches
I am likely to use electronic health record data, lifestyle questionnaires, and sociodemographic data. I anticipate using regression or its extensions (e.g., MLM) to examine these questions.","Anticipated Findings
I anticipate that it will be low levels of resiliency factors, rather than the presence of risk factors, that explain more of the health disparities seen among sexual minorities. This pattern will occur across different health conditions. These findings would help identify which types of interventions should be developed to address health disparities, as well as identify whether there are context-specific considerations that are needed to address rural or suburban populations.","Demographic Categories of Interest
Race / Ethnicity
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Bri Sprague
- Early Career Tenure-track Researcher, Indiana University
Hailemichael Shone
- Research Fellow, Indiana University","Protective Factors Associated with Stress Resilience Among Minoritized Groups I am currently exploring these data but am interested in identifying individual and community-level risk and resiliency factors among minoritized adults across different environments (i.e., rural, urban, suburban) and how they are associated with different health conditions (e.g., cardiovascular disease).…","1. ['Owner', 'Early Career Tenure-track Researcher', 'Research Fellow']
2. ['Bri Sprague', 'Hailemichael Shone']
3. ['Indiana University', 'Indiana University']","['Owner', 'Early Career Tenure-track Researcher', 'Research Fellow']","['Bri Sprague', 'Hailemichael Shone']","['Indiana University', 'Indiana University']",2,2,1,FALSE
Lipids - research prep,This workspace is for exploring the AllOfUs dataset to formalize research questions about the genetic architecture of lipid traits and their impact on cardiovascular disease.,"Scientific Questions Being Studied
This workspace is for exploring the AllOfUs dataset to formalize research questions about the genetic architecture of lipid traits and their impact on cardiovascular disease.","Project Purpose(s)
Disease Focused Research (Hyperlipidemia, cardiovascular disease, metabolic disease)
Population Health
Drug Development
Methods Development
Ancestry","Scientific Approaches
This workspace will be used to explore the number/counts/demographics of participants with available genetic, laboratory, and diagnosis codes relevant to the potential research described above.","Anticipated Findings
This workspace will provide counts/demographics of participants who may be included in further specific research projects.","Demographic Categories of Interest
Race / Ethnicity
Age","Data Set Used
Controlled Tier","Research Team
Owner:
Michael Levin
- Research Fellow, University of Pennsylvania",Lipids - research prep This workspace is for exploring the AllOfUs dataset to formalize research questions about the genetic architecture of lipid traits and their impact on cardiovascular disease.,"1. ['Owner', 'Research Fellow']
2. ['Michael Levin']
3. ['University of Pennsylvania']","['Owner', 'Research Fellow']",['Michael Levin'],['University of Pennsylvania'],1,1,1,FALSE
Social Determinates of Health and Cardiovascular Disease Risk,"We have evidence to suggest that there is an association between inflammation and cardiovascular disease health. However, less is known about how social determinate of health, such as features of the built environment (e.g. neighborhood safety, urban vs. rural, etc.)…","Scientific Questions Being Studied
We have evidence to suggest that there is an association between inflammation and cardiovascular disease health. However, less is known about how social determinate of health, such as features of the built environment (e.g. neighborhood safety, urban vs. rural, etc.) are associated with cardiovascular health through inflammation. Moreover, it is unclear how these mechanistic pathways from social determinates of health, through inflammation, to cardiovascular disease risk vary by key sociodemographic features like race/ethnicity and sexual orientation. Thus, the following investigation 2 has research questions.
1. Are environmental features (e.g. housing instability, neighborhood features, etc.) associated with physiological deregulation as measured by inflammation (e.g. cytokines, Interleukin’s, and c-reactive protein, biological markers of inflammation) and thus cardiovascular disease risk?
2. Do these associations vary by race and/or sexual orientation?","Project Purpose(s)
Disease Focused Research (arteriosclerotic cardiovascular disease)","Scientific Approaches
For these analyses we will use the lab and survey data. We will specifically combine the data from 2017-2019 into one cross sectional dataset. Next, we will select the relevant variables and conduct descriptive statistics. For our formal analyses we will run structural equation models as well as a latent class analyses to better specify profiles of inflammation using cytokines, Interleukin’s, and c-reactive protein, and other biological markers of inflammation.","Anticipated Findings
We expect to;
a define meaningful profiles of inflammation;
b understand how social determinates of health are associated with cardiovascular disease through inflammation processes; and
c. understand how this process may vary by race/ethnicity, sexual orientation, and the intersection of them both.
We believe this is an important contribution to the field given the lack of mechanistic inquiries related to social determinates of health and cardiovascular disease risk particularly for sexual and racial minorities.","Demographic Categories of Interest
Race / Ethnicity
Sex at Birth
Gender Identity
Sexual Orientation
Geography","Data Set Used
Controlled Tier","Research Team
Owner:
Stephanie Cook
- Early Career Tenure-track Researcher, New York University
Erica Wood
- Graduate Trainee, New York University
Collaborators:
Yingzhu Chen - Graduate Trainee, New York University","Social Determinates of Health and Cardiovascular Disease Risk We have evidence to suggest that there is an association between inflammation and cardiovascular disease health. However, less is known about how social determinate of health, such as features of the built environment (e.g. neighborhood safety, urban vs. rural, etc.)…","1. ['Owner', 'Early Career Tenure-track Researcher', 'Graduate Trainee', 'Graduate Trainee']
2. ['Stephanie Cook', 'Erica Wood', 'Yingzhu Chen']
3. ['New York University', 'New York University', 'New York University']","['Owner', 'Early Career Tenure-track Researcher', 'Graduate Trainee', 'Graduate Trainee']","['Stephanie Cook', 'Erica Wood', 'Yingzhu Chen']","['New York University', 'New York University', 'New York University']",3,3,1,FALSE
GxE_CAD_CH,Clonal hematopoiesis is a recently recognized risk factor for cardiovascular diseases. We are interested in the risk factors that interact with the risk of cardiovascular disease associated with clonal hematopoiesis.,"Scientific Questions Being Studied
Clonal hematopoiesis is a recently recognized risk factor for cardiovascular diseases. We are interested in the risk factors that interact with the risk of cardiovascular disease associated with clonal hematopoiesis.","Project Purpose(s)
Disease Focused Research (arteriosclerotic cardiovascular disease)","Scientific Approaches
We will use all available population data to perform the association studies using R. We will perform survival analyses to assess the association between cardiovascular diseases and clonal hematopoiesis and search the genetic and environmental factors that modulate the asociation.","Anticipated Findings
We anticipate finding some interactant that modulates cardiovascular disease risk in those with clonal hematopoiesis. If this is successful, we will be able to develop better management strategy to manage cardiovascular disease risks in those with clonal hematopoiesis.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
TETSUSHI NAKAO
- Research Fellow, Broad Institute
Collaborators:
Md Mesbah Uddin - Research Fellow, Broad Institute
Buu Truong - Research Fellow, Broad Institute",GxE_CAD_CH Clonal hematopoiesis is a recently recognized risk factor for cardiovascular diseases. We are interested in the risk factors that interact with the risk of cardiovascular disease associated with clonal hematopoiesis.,"1. ['Owner', 'Research Fellow', 'Research Fellow', 'Research Fellow']
2. ['TETSUSHI NAKAO', 'Md Mesbah Uddin', 'Buu Truong']
3. ['Broad Institute', 'Broad Institute', 'Broad Institute']","['Owner', 'Research Fellow', 'Research Fellow', 'Research Fellow']","['TETSUSHI NAKAO', 'Md Mesbah Uddin', 'Buu Truong']","['Broad Institute', 'Broad Institute', 'Broad Institute']",3,3,1,FALSE
genetic-replication-r7,We are studying cardiovascular diseases and their genetic basis. Cardiovascular diseases are leading causes of morbidity and mortality in the United States. We aim to gain a better understanding of their genetic risk factors.,"Scientific Questions Being Studied
We are studying cardiovascular diseases and their genetic basis. Cardiovascular diseases are leading causes of morbidity and mortality in the United States. We aim to gain a better understanding of their genetic risk factors.","Project Purpose(s)
Disease Focused Research (cardiovascular and aortic diseases)
Methods Development
Ancestry","Scientific Approaches
We conduct genetic analyses, including rare variant analyses, common genetic analyses such as genome-wide association study (GWAS), genetic epidemiology, and derive and apply and polygenic scores.","Anticipated Findings
We anticipate gaining a better understanding of the genetic factors that influence the development and progression of cardiovascular diseases. We anticipate gaining a better understanding of the genetic components of disease risk, and the genetic contributions to other phenotypes that may ultimately play a role in disease development or progression. These findings would ultimately help identify people at risk for disease prior to symptom development; would nominate potential therapeutic targets; and would improve our understanding of diseases and their risk factors.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
James Pirruccello
- Early Career Tenure-track Researcher, University of California, San Francisco",genetic-replication-r7 We are studying cardiovascular diseases and their genetic basis. Cardiovascular diseases are leading causes of morbidity and mortality in the United States. We aim to gain a better understanding of their genetic risk factors.,"1. ['Owner', 'Early Career Tenure-track Researcher']
2. ['James Pirruccello']
3. ['University of California, San Francisco']","['Owner', 'Early Career Tenure-track Researcher']",['James Pirruccello'],"['University of California, San Francisco']",1,1,1,FALSE
